AGS,GEN,BEZ,population_change_5y_pct,share_65plus_pct,longterm_unemployed_share_pct,employment_rate_pct
05978016,Holzwickede,Gemeinde,3.49,24.51,34.84,64.6
05562024,Marl,Stadt,3.27,23.28,56.9,58.82
05562032,Recklinghausen,Stadt,2.79,23.57,46.55,60.74
05978040,Werne,Stadt,2.52,26.13,36.0,64.68
05562008,Datteln,Stadt,2.5,23.25,59.18,62.46
05913000,Dortmund,Stadt,2.44,20.39,43.9,58.04
05978036,Unna,Stadt,2.29,24.31,37.87,64.67
05562012,Dorsten,Stadt,1.83,24.83,41.53,61.09
05978032,Selm,Stadt,1.11,23.23,36.93,62.54
05914000,Hagen,Stadt,0.97,21.43,45.77,59.23
05954020,Herdecke,Stadt,0.91,27.04,37.74,63.71
05978004,Bergkamen,Stadt,0.81,21.55,40.5,61.88
05562004,Castrop-Rauxel,Stadt,0.44,23.26,40.75,60.49
05562016,Haltern am See,Stadt,0.25,24.86,33.25,64.34
05562014,Gladbeck,Stadt,-0.13,21.99,56.36,57.79
05916000,Herne,Stadt,-0.14,21.93,37.05,58.4
05562036,Waltrop,Stadt,-0.25,25.62,47.21,63.39
05562028,Oer-Erkenschwick,Stadt,-0.3,22.89,43.62,62.83
05978024,Lünen,Stadt,-0.61,22.35,43.66,60.37
05978028,Schwerte,Stadt,-0.72,25.54,35.08,63.53
05954004,Breckerfeld,Stadt,-0.91,24.91,29.58,65.14
05562020,Herten,Stadt,-1.08,24.44,47.6,58.81
05978008,Bönen,Gemeinde,-1.1,23.3,40.64,63.1
05978012,Fröndenberg/Ruhr,Stadt,-1.13,25.56,36.09,64.64
05978020,Kamen,Stadt,-1.33,24.88,40.65,63.59
05954024,Schwelm,Stadt,-1.74,23.97,45.31,63.07
05954028,Sprockhövel,Stadt,-1.76,26.23,35.03,66.58
05954008,Ennepetal,Stadt,-1.8,22.99,39.76,68.81
05911000,Bochum,Stadt,-2.09,22.3,41.18,60.23
05954012,Gevelsberg,Stadt,-2.15,23.86,34.79,67.96
05954016,Hattingen,Stadt,-2.85,26.27,36.62,64.95
05954032,Wetter (Ruhr),Stadt,-4.15,24.0,33.79,66.23
05954036,Witten,Stadt,-4.69,23.88,45.86,64.09
